ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,4.61,49.78, 777, 1649
 10,, 3,2.98,51.34, 493, 1515
 11,, 3,4.81,29.99, 298, 894
 12,, 2,8.44,9.67, 7, 13
 13,, 3,7.49,9.40, 7, 13
 14,, 5,12.78,14.75, 2, 3
 15,, 6,8.11,98.81, 2712, 5635
 16,, 1,11.09,12.27, 2, 11
 17,, 3,8.49,10.80, 19, 56
 18,, 2,8.17,9.91, 1, 4
 19,, 1,8.18,8.86, 3, 5
 2,, 3,6.74,12.11, 38, 75
 20,, 1,7.92,8.58, 1, 1
 3,, 3,6.18,14.15, 59, 117
 4,, 5,7.05,22.76, 202, 999
 5,, 3,8.14,9.27, 1, 1
 6,, 2,9.96,10.76, 1, 1
 7,, 2,9.80,10.82, 3, 8
 8,, 2,5.54,11.72, 96, 192
 9,, 2,3.71,6.38, 48, 98
