ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,5.59,46.28, 661, 1390
 10,, 3,5.26,40.15, 440, 1326
 11,, 3,2.71,11.43, 121, 365
 12,, 2,7.44,8.65, 2, 3
 13,, 4,9.23,14.06, 29, 64
 14,, 5,10.19,11.94, 2, 3
 15,, 6,10.28,170.92, 2996, 6195
 16,, 1,8.32,9.18, 2, 11
 17,, 3,6.30,9.54, 19, 56
 18,, 2,12.48,14.88, 1, 4
 19,, 2,11.61,13.55, 9, 17
 2,, 3,5.78,8.55, 19, 37
 20,, 1,10.59,11.46, 1, 1
 3,, 5,5.94,114.98, 1651, 3413
 4,, 5,6.96,16.73, 123, 552
 5,, 4,11.27,16.73, 62, 126
 6,, 3,10.94,13.77, 25, 49
 7,, 2,10.05,10.91, 2, 5
 8,, 2,5.70,19.52, 299, 600
 9,, 2,4.75,11.63, 137, 275
