ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,5.55,51.73, 777, 1649
 10,, 3,4.30,33.00, 493, 1515
 11,, 3,6.75,33.65, 298, 894
 12,, 2,9.52,11.55, 7, 13
 13,, 3,8.45,10.51, 7, 13
 14,, 5,10.91,12.79, 2, 3
 15,, 6,8.62,101.37, 2619, 5430
 16,, 1,12.27,13.95, 2, 11
 17,, 3,8.56,9.93, 4, 11
 18,, 2,11.14,12.73, 1, 4
 19,, 1,7.55,8.11, 2, 3
 2,, 3,4.74,9.51, 38, 75
 20,, 1,6.13,7.19, 1, 1
 3,, 3,6.53,13.77, 60, 119
 4,, 5,7.98,25.05, 202, 999
 5,, 3,9.34,10.42, 1, 1
 6,, 2,9.84,10.53, 1, 1
 7,, 2,10.24,11.82, 3, 8
 8,, 2,4.56,11.74, 96, 192
 9,, 2,3.86,9.16, 48, 98
