ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,,,,,,
 10,, 3,5.92,34.73, 423, 1267
 11,, 3,3.66,10.36, 96, 286
 12,, 2,6.79,8.17, 2, 3
 13,, 4,8.41,12.80, 25, 54
 14,, 5,10.33,12.09, 2, 3
 15,, 6,7.33,52.97, 1150, 2401
 16,, 1,8.28,9.61, 2, 11
 17,, 3,6.79,10.55, 18, 53
 18,, 2,14.08,15.00, 1, 4
 19,, 2,10.51,11.99, 9, 17
 2,, 3,5.92,8.29, 19, 37
 20,, 2,10.00,11.06, 1, 1
 3,, 5,5.48,98.72, 1328, 2731
 4,, 5,7.52,13.52, 71, 230
 5,, 4,10.39,14.62, 43, 87
 6,, 3,10.90,11.78, 1, 1
 7,, 3,11.63,16.88, 54, 161
 8,, 3,4.61,304.40, 8007, 17452
 9,, 3,2.30,128.92, 3686, 7425
