ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,,,,,,
 10,, 4,6.77,255.85, 2722, 8480
 11,, 4,6.99,98.99, 704, 2172
 12,, 3,9.94,13.44, 16, 31
 13,, 4,9.67,12.16, 26, 51
 14,, 7,10.73,12.88, 2, 3
 15,, 8,9.01,74.52, 1307, 2687
 16,, 3,11.29,12.79, 2, 11
 17,, 4,12.95,20.33, 41, 152
 18,, 4,15.26,19.91, 9, 66
 19,, 3,11.92,14.65, 7, 13
 2,, 5,7.83,57.64, 579, 1183
 20,, 2,12.19,13.32, 3, 5
 3,, 5,4.89,31.70, 235, 479
 4,, 5,9.19,35.67, 371, 1219
 5,, 4,9.45,11.13, 8, 15
 6,, 3,10.55,11.55, 1, 1
 7,, 3,10.42,11.62, 3, 8
 8,, 3,4.07,191.71, 6487, 12976
 9,, 3,3.05,113.30, 3515, 7031
