ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,3.63,52.72, 777, 1649
 10,, 3,6.75,51.78, 493, 1515
 11,, 3,7.39,34.63, 298, 894
 12,, 2,8.24,9.39, 7, 13
 13,, 3,8.01,9.59, 7, 13
 14,, 5,12.38,13.46, 2, 3
 15,, 6,15.93,159.79, 2739, 5701
 16,, 1,8.12,9.38, 2, 11
 17,, 3,8.80,11.63, 17, 50
 18,, 2,11.95,13.05, 1, 4
 19,, 1,6.88,7.50, 3, 5
 2,, 3,5.86,10.89, 38, 75
 20,, 1,11.11,12.10, 1, 1
 3,, 3,5.83,14.66, 59, 117
 4,, 5,6.30,28.16, 202, 999
 5,, 3,9.34,10.32, 1, 1
 6,, 2,9.69,10.52, 1, 1
 7,, 2,9.16,10.08, 3, 8
 8,, 2,4.51,10.23, 96, 192
 9,, 2,3.88,6.84, 48, 98
