ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,6.53,57.93, 777, 1649
 10,, 3,5.72,86.03, 901, 2743
 11,, 3,4.81,76.34, 635, 1919
 12,, 2,8.84,10.34, 6, 11
 13,, 3,8.57,10.72, 5, 9
 14,, 5,10.21,11.57, 2, 3
 15,, 6,10.58,106.93, 2614, 5424
 16,, 1,8.28,10.06, 2, 11
 17,, 3,8.98,10.75, 6, 17
 18,, 2,11.51,13.21, 1, 4
 19,, 1,7.36,8.02, 2, 3
 2,, 3,5.94,12.11, 38, 75
 20,, 1,10.20,10.83, 1, 1
 3,, 3,6.43,14.68, 58, 115
 4,, 5,6.10,26.14, 202, 999
 5,, 3,9.05,9.69, 1, 1
 6,, 2,10.15,10.75, 1, 1
 7,, 2,9.89,10.92, 3, 8
 8,, 2,5.24,13.26, 134, 268
 9,, 2,4.32,6.93, 47, 97
