ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,6.26,59.56, 777, 1649
 10,, 3,3.65,66.62, 870, 2650
 11,, 3,8.29,107.57, 926, 2808
 12,, 2,9.87,10.96, 4, 7
 13,, 3,8.85,10.54, 3, 5
 14,, 5,11.45,12.94, 2, 3
 15,, 6,8.16,89.50, 2573, 5379
 16,, 1,10.12,11.36, 2, 11
 17,, 3,9.96,13.50, 16, 47
 18,, 2,10.88,11.79, 1, 4
 19,, 1,9.01,9.66, 2, 3
 2,, 3,5.46,9.98, 38, 75
 20,, 1,7.53,8.80, 1, 1
 3,, 3,3.31,7.41, 39, 77
 4,, 5,7.67,24.18, 202, 988
 5,, 3,8.73,9.74, 1, 1
 6,, 2,9.28,10.12, 1, 1
 7,, 2,9.46,10.78, 3, 8
 8,, 2,5.62,14.92, 149, 299
 9,, 2,5.00,10.79, 101, 202
