ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,4.87,46.93, 748, 1593
 10,, 3,4.94,33.89, 439, 1323
 11,, 3,5.01,14.92, 120, 362
 12,, 2,6.85,7.72, 2, 3
 13,, 4,8.20,10.57, 26, 56
 14,, 5,8.73,10.49, 2, 3
 15,, 6,17.30,190.16, 3486, 7486
 16,, 1,10.17,12.29, 2, 11
 17,, 3,6.23,8.16, 5, 14
 18,, 2,13.20,15.39, 1, 4
 19,, 1,10.22,11.20, 1, 1
 2,, 3,5.87,11.25, 38, 75
 20,, 1,9.01,10.08, 1, 1
 3,, 3,5.25,10.63, 42, 83
 4,, 5,7.83,20.73, 143, 637
 5,, 3,8.64,9.41, 1, 1
 6,, 3,8.48,9.72, 3, 5
 7,, 2,8.87,9.60, 2, 5
 8,, 2,4.09,14.28, 300, 602
 9,, 2,4.58,11.91, 135, 270
