ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,5.21,56.02, 777, 1649
 10,, 3,3.89,33.05, 493, 1515
 11,, 3,3.12,28.36, 298, 894
 12,, 2,8.46,10.55, 7, 13
 13,, 3,7.24,9.21, 7, 13
 14,, 5,10.31,12.31, 2, 3
 15,, 6,14.32,133.55, 2739, 5701
 16,, 1,8.46,9.88, 2, 11
 17,, 3,8.54,11.20, 17, 50
 18,, 2,12.53,13.34, 1, 4
 19,, 1,6.63,7.26, 3, 5
 2,, 3,5.64,11.38, 38, 75
 20,, 1,10.72,11.54, 1, 1
 3,, 3,5.27,13.06, 59, 117
 4,, 5,7.32,23.45, 202, 999
 5,, 3,8.68,9.78, 1, 1
 6,, 2,8.74,9.34, 1, 1
 7,, 2,8.71,10.11, 3, 8
 8,, 2,4.81,10.70, 96, 192
 9,, 2,6.03,11.14, 48, 98
