ID,Description,#Comps,Soot Time,Synthesis Time (s),Paths,Programs
 1,, 4,5.30,51.57, 777, 1649
 10,, 3,5.53,40.54, 493, 1515
 11,, 3,4.34,23.29, 298, 894
 12,, 2,8.26,9.51, 7, 13
 13,, 3,8.41,10.32, 7, 13
 14,, 5,11.74,13.50, 2, 3
 15,, 6,12.14,151.71, 2739, 5701
 16,, 1,8.87,9.79, 2, 11
 17,, 3,8.46,10.06, 13, 38
 18,, 2,13.29,15.07, 1, 4
 19,, 1,7.04,7.71, 3, 5
 2,, 3,6.40,11.40, 38, 75
 20,, 1,10.83,11.82, 1, 1
 3,, 3,5.88,13.30, 59, 117
 4,, 5,8.57,27.43, 202, 999
 5,, 3,9.34,10.32, 1, 1
 6,, 2,8.67,9.36, 1, 1
 7,, 2,9.44,11.08, 3, 8
 8,, 2,4.85,10.89, 96, 192
 9,, 2,6.28,10.52, 48, 98
